"Tracklist short","ID"
"01	Yello	Megamix	In One Go Medley	 	 	 
02	Kraftwerk	Megamix	The Mix Medley	 	 	 
03	Yello	The Race	 	 	 	 
04	Kraftwerk	Megamix	Computerwelt Medley	 	 	 
05	Yello	Call It Love	 	 	 	 
06	Kraftwerk	The Telephone Call	 	 	 	 
07	Yello	Vicious Games	 	 	 	 ",58
"01) Don´t Leave Me This Way -- Communards
02) Only You -- The Platters
03) Come On Eileen -- Kevin Rowland & Dexys Mignight Runners
04) never Gonna Give You Up -- Barry White
05) The Look Of Love -- ABC
06) You´re In The Army Now -- Status Quo
07) Love In",59
"01. 	2:48 	Dieter Thomas Kuhn & Band / Fiesta Mexicana
02. 	2:53 	Dieter Thomas Kuhn & Band / Einsamkeit hat viele Namen
03. 	3:32 	CAN / I want more
04. 	4:17 	Jochen Schmidt / Hambrock
05. 	3:59 	Jam & Spoon's Hand on Yello / You gotta say yes to anothe",60
"01. Cult Hero - I Dig You
02. The Associates - Janice
03. Tim Pope - I Want To Be a Tree
04. The Cure - To the Sky
05. Eat - Fat Man
06. Die Warzau – Shakedown",61
"01. Tom & Jerry (Udo Jürgens – „Vielen Dank für die Blumeninch)
02. Miss Marple
03. Ein Colt für alle Fälle (Lee Majors – „Unknown Stuntmaninch)
04. Dornenvögel
05. Die Familie Barbapapa
06. Magnum
07. Formel Eins (Yello – „The Raceinch)
08. Aktenzeichen XY ...ung",62
"01.01 	Sandra 	Hiroshima (Razormaid! Digital Mix / Art Maharg) [Key: E min Note: Orig. on RM SP-014. 1990.] 	- 	 89.0
01.02 	Mylene Farmer 	Pourvu Qu'elles Soient Douces ([Digital Mix] / Joseph Watt) [Key: B min Note: Orig. on RM SP-014. 1990.] 	- 	90.0
0",63
"1   Ardistan-Mischung   DEJA VU

2   Ardistan-Remix   WITT

3   Ardistan-Remix   ASHRA

4   Ardistan-Remix   YOMANO

5   Ardistan-Re-Compu-Mix   PERON

6   Ardistan-Mischung   SITARA

7   Ardistan-Remix   PACHINKO FAKE

8   Ardistan-Die singende Bombe Ver",64
"1  	 	HOT SHOT  	BARBARA TUCKER
2 		DIRTY DAT 	BITE THE BULLET
3 		FINALLY 97 	CE CE PENISTON
4 		YOU'RE NOT ALONE 	OLIVE
5 		HAND IN HAND 	GRACE
6 		FORBIDDEN FRUIT 	PAUL VAN DYK
7 		GROOVE BIRD 	NATURAL BORN GROOVES
8 		AQUARIUS 	DASTIX
9 		PRIDE 	JOHNN",65
"1 Hold Me Now – Thompson Twins

2 Blue Night Shadow – Two Of Us

3 America The Brave – Steve Harley

4 Hey Lord don´t ask me Questions – Graham Parker

5 Just an Illusion - Imagination

6 Privat Dancer – Tina Turner

7 Strength of Character – China Crisis",66
"1	A New Culture Is Born (3:14)
  vocals by Dieter Meier
2	The Nightfly (7:21)
3	La Luna (5:45)
4	DJ Culture (6:07)
5	Sundowner (5:15)
6	Sound Of Machines (5:15)
7	The Blue Sky (6:38)
8	Waste Your Youth (4:38)
9	Mindcrasher (7:30)
10	The Nightfly (Break Re",67
