ID,Format,Type,Name,Artist,Year,Subtype,Country,Label,SpineCat,CatNumber,PicFront,PicBack,PicLabela,PicLabelb,PicInsideCD,PicMisc1,PicMisc2,PicMisc3,PicMisc4,PicMisc5,PicMisc6,PicMisc7,PicMisc8,PicMisc9,PicMisc10,PicMisc11,PicMisc12
28,Tape,Cass,Baby,Yello,1991,Album,South Africa,Mercury,STARC 5816,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
29,Tape,Cass,Baby,Yello,1991,Album,UK,Mercury,NULL,848 791-4,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
30,Tape,Cass,Baby,Yello,1991,Album,UK,Phonogram,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
31,Tape,DCC,Baby,Yello,1993,Album,Germany,Mercury,NULL,848 791-5,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
32,Tape,DCC,Baby,Yello,1993,Album,Netherlands,Mercury,NULL,848 791-5,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
33,Vinyl,LP,Baby,Yello,1991,NULL,Germany,Mercury,NULL,849 791-1,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
34,Vinyl,LP,Baby,Yello,NULL,NULL,Greece,NULL,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
35,Vinyl,LP,Baby,Yello,1994,NULL,Poland,Mercury,NULL,848 791-1,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
36,Vinyl,LP,Baby,Yello,1992,NULL,Russia,Polygram,LD238011,LD238011,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
37,Vinyl,LP,Baby,Yello,1992,NULL,Russia,Polygram,LD238011,LD238011,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
38,Vinyl,LP,Baby,Yello,1991,NULL,South Africa,Mercury,starl 5816,848 791-1,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
39,Vinyl,LP,Baby,Yello,1991,NULL,Spain,Mercury,848 791-1,848 791-1,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
40,Vinyl,LP,Baby,Yello,1991,NULL,UK,Mercury,NULL,848 791-1,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
41,Vinyl,LP,Baby,Yello,NULL,NULL,NULL,Mercury,NULL,848 791-1,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
42,Memorabilia,Photos,Baby,Yello,1991,,UK,NULL,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
43,Memorabilia,poster,Baby,Yello,1991,,UK,NULL,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
44,CD,Album,Best,Yello,1999,2X,Russia,NULL,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
45,Vinyl,12inch,Bimbo,Yello,1982,,U.S.A,Ralph,YL 8209,YL 8209,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
46,Vinyl,12inch,Bimbo,Yello,1982,NULL,U.S.A,Ralph,YL 8209,YL 8209,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
47,Vinyl,7inch,Bimbo,Yello,??,NULL,France,Celluloid,CEL 6221,CEL 6221,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
48,Vinyl,7inch,Bimbo,Yello,1981,Flexi,U.S.A,Take It Mag,NULL,3108165,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
49,Vinyl,7inch,Bimbo,Yello,1980,NULL,U.S.A,Ralph,NULL,YL-8058-S,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
50,Vinyl,7inch,Bimbo,Yello,1981,NULL,UK,Do It,DUN 11,DUN 11,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
51,Memorabilia,Promos,Biography,Yello,NULL,press pack,U.S.A,NULL,NULL,NULL,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
52,CD,Album,Blame on Yello,Yello,1994,NULL,Netherlands,Mercury,RP13038,NONE,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
53,Vinyl,12inch,Blazing Saddles,Yello,1989,NULL,Germany,Mercury,NULL,874 929-1,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
54,Vinyl,12inch,Blazing Saddles,Yello,1989,NULL,UK,Mercury,YELLO 412,874 719-1,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
55,Vinyl,7inch,Blazing Saddles,Yello,1989,NULL,Australia,Mercury,NULL,874 718-7,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
56,Vinyl,7inch,Blazing Saddles,Yello,1989,NULL,Germany,Mercury,NULL,874 928-7,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
57,Vinyl,7inch,Blazing Saddles,Yello,1989,NULL,Germany,Mercury,NULL,874 928-7,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers,./assets/bands/Covers
