"22","CD","Album","Baby","Yello","1991",\N,"UK","Mercury",\N,"848 791-2","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","22"," WRONG TEXT. WHO'S GROOVE.",\N,\N,\N,"1",\N,\N,"1",\N,\N,\N,\N,\N,\N,"Paul Jones",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"23","Tape","Cass","Baby","Yello","1991","Album","Australia","Mercury",\N,"848 791-4","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","23","AUSTRALIA DIFFERENT INLAY",\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,"Ari",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"24","Tape","Cass","Baby","Yello","1991","Album","France","Mercury",\N,"848 791-4","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Makke",\N,\N,"wonder",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"25","Tape","Cass","Baby","Yello","1991","Album","Germany","Mercury",\N,"848 791-4","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","25",\N,\N,\N,\N,"1",\N,"1",\N,"1",\N,\N,\N,"June","17","JW",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"10","   1. Homage to the Mountain 0.33\
   2. Rubberbandman 3.35\
   3. Jungle Bill 6.08\
   4. Ocean Club 3.26\
   5. Who's Gone? 3.41\
   6. Capri Calling 3.01\
\
   7. Drive/Driven 4.13\
   8. On the Run 4.36\
   9. Blender 4.35\
  10. Sweet Thunder 5.24",\N,"before 2003",\N,\N,\N,\N,"WG WO",\N,\N,\N,\N,\N,\N,\N,\N
"26","Tape","Cass","Baby","Yello","1991","Album","Netherlands","Mercury","848 791-4","848 791-4","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","26",\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"fact",\N,\N,"none",\N,"none","none","0268","581","BIEM/STEMRA",\N,\N,\N,\N,"p/s",\N,"10",\N,\N,"before 2003",\N,\N,\N,\N,"ratho drive",\N,\N,\N,\N,\N,\N,\N,\N
"27","Tape","Cass","Baby","Yello","1994","Album","Poland","Mercury",\N,"848 791-4","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","27",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Makke",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"28","Tape","Cass","Baby","Yello","1991","Album","South Africa","Mercury","STARC 5816",\N,"./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","28",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"SA LP",\N,\N,"wonder",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"29","Tape","Cass","Baby","Yello","1991","Album","UK","Mercury",\N,"848 791-4","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","29",\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,"1",\N,"June","10","JW",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"10","    1. Homage to the Mountain 0.33\
   2. Rubberbandman 3.35\
   3. Jungle Bill 6.08\
   4. Ocean Club 3.26\
   5. Who's Gone? 3.41\
   6. Capri Calling 3.01\
\
   7. Drive/Driven 4.13\
   8. On the Run 4.36\
   9. Blender 4.35\
  10. Sweet Thunder 5.24",\N,"25/10/03 00:00","ebay","molocule","0.80 GBP","1.20 GBP","glasgow","yes","yes",\N,\N,"2565353559","136",\N,\N
"30","Tape","Cass","Baby","Yello","1991","Album","UK","Phonogram",\N,\N,"./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","30","Black plastic Book like case with consumer tape \", same as zebra and other one?",\N,\N,\N,\N,\N,\N,\N,"1",\N,\N,\N,\N,\N,"Paul Jones",\N,\N,"fact",\N,"Promo",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"31","Tape","DCC","Baby","Yello","1993","Album","Germany","Mercury",\N,"848 791-5","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","./assets/bands/Covers","31",\N,\N,\N,\N,"1",\N,\N,\N,"1",\N,\N,\N,"June","17","US_Julz",\N,\N,"fact",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"10","   1. Homage to the Mountain 0.33\
   2. Rubberbandman 3.35\
   3. Jungle Bill 6.08\
   4. Ocean Club 3.26\
   5. Who's Gone? 3.41\
   6. Capri Calling 3.01\
\
   7. Drive/Driven 4.13\
   8. On the Run 4.36\
   9. Blender 4.35\
  10. Sweet Thunder 5.24",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
