7139, YELLO       , CLARO QUE SI                    , RALPH                 ,, US          ,, VINYL              , LP            ,              
7215, YELLO       , CLARO QUE SI                    , DO IT                 ,, UK          ,, VINYL              , LP            ,              
7291, YELLO       , CLARO QUE SI                    , VERTIGO               ,, GERMAN      ,, VINYL              , LP            ,              
7367, YELLO       , CLARO QUE SI                    , VERTIGO               ,, NETHERLANDS ,, VINYL              , LP            ,              
7443, YELLO       , CLARO QUE SI                    , VERTIGO               ,, GERMAN      ,, VINYL              , LP            ,              
7519, YELLO       , CLARO QUE SI                    ,                       ,,             ,, PROMOS             , STICKER       ,              
7595, YELLO       , CLARO QUE SI / STELLA           , CD MAXIMUM            ,, RUSSIA      ,, CD                 , ALBUM         ,              
7671, YELLO       , CLARO QUE SI                    , PHONOGRAM             ,, GERMAN      ,, CASSETTE           , ALBUM         ,              
7747, YELLO       , COBRA LE FILM                   , MANGA/PATHE! 450717   ,, FRANCE      ,, VIDEO              ,               ,              
7823, YELLO       , CRASH DANCE LIMITED BOX WITH    , CRASH REC.            ,, GERMAN      ,, CD                 ,               , PROMO        
7899, DIETER      , CRY FOR FAME                    , PERIPHERY PERFUME     ,, SWITZERLAND ,, VINYL              , 7”            ,              
7975, VARIOUS     , DEFINITIV ZURICH                , REC REC               ,, SWITZERLAND ,, VINYL              ," 7""            ", 2X           
8051, VARIOUS     , DEFINITIV ZURICH 1976 - 1986    , REC REC               ,, GERMAN      ,, VINYL              , LP            ,              
8127, VARIOUS     , DEFINITIV ZURICH 1976 - 1986    , MAKE UP               ,, GERMAN      ,, CD                 ,               ,              
8203, YELLO       , DESIRE                          , POLYDOR               ,, FRANCE      ,, VINYL              ," 7""            ",              
8279, YELLO       , DESIRE                          , VERTIGO               ,, GERMAN      ,, VINYL              ," 12""           ",              
8355, YELLO       , DESIRE                          , ELEKTRA               ,, UK          ,, CASSETTE           ," 12""           ",              
8431, YELLO       , DESIRE                          , POLYDOR               ,, FRANCE      ,, VINYL              ," 12""           ",              
8507, YELLO       , DESIRE                          , WHITE LABEL           ,, UK          ,, VINYL              ," 12""           ", PROMO        
8583, YELLO       , DESIRE                          , ELEKTRA               ,, UK          ,, VINYL              ," 12""           ", 2X           
8659, YELLO       , DESIRE                          , ELEKTRA               ,, UK          ,, VINYL              ," 12""           ", PROMO        
8735, YELLO       , DESIRE                          , ELEKTRA               ,, UK          ,, VINYL              ," 12""           ",              
8811, YELLO       , DESIRE                          , TOWNHOUSE             ,, UK          ,, VINYL              ," 12""           ", PROMO        
8887, YELLO       , DESIRE                          , MERCURY               ,, UK          ,, VINYL              ," 7""            ",              
8963, YELLO       , DESIRE                          , ELEKTRA               ,, U.S.A       ,, VINYL              ," 7""            ",              
9039, YELLO       , DESIRE                          , VERTIGO               ,, GERMAN      ,, VINYL              ," 7""            ",              
9115, YELLO       , DESIRE                          , MERCURY               ,, UK          ,, CASSETTE           , SINGLE        ,              
9191, VARIOUS     , DIE UNENDLICHE GESCHIECHTE      , WEA                   ,, GERMAN      ,, CD                 , ALBUM         ,              
9267, VARIOUS     , DIRECT HIT SECTOR 11            , NONE                  ,, GERMAN      ,, CD                 , ALBUM         ,              
9343, VARIOUS     , DIRECT HIT SECTOR 6             , NONE                  ,, GERMAN      ,, CD                 , ALBUM         ,              
9419, BLAND &     , DJ CULTURE                      , RADIKAL RECORDS       ,, UK          ,, CD                 , MAXI          ,              
63387, BLAND &     , DJ CULTURE                      ,                       ,, UK          ,, VINYL              ,               ,              
9495, YELLO       , DO IT                           , MERCURY               ,, GERMAN      ,, VINYL              ," 7""            ",              
9571, YELLO       , DO IT                           , DO IT RECORDS         ,, GERMAN      ,, VINYL              ," 12""           ",              
9647, YELLO       , DO IT                           , DO IT RECORDS         ,, US          ,, VINYL              ," 12""           ",              
9723, YELLO       , DO IT                           , MERCURY               ,, GERMAN      ,, VINYL              ," 12""           ", PROMO        
9799, YELLO       , DO IT                           , WHITE LABEL           ,, US          ,, VINYL              ," 12""           ", PROMO        
9875, YELLO       , DO IT                           , MERCURY               ,, GERMAN      ,, VINYL              ," 12""           ", 2X           
9951, YELLO       , DO IT                           , SMASH                 ,, US          ,, VINYL              ," 12""           ", 2X           
10027, YELLO       , DO IT                           , MERCURY               ,, UK          ,, CASSETTE           , SINGLE        ,              
10103, YELLO       , DO IT                           , SMASH RECORDS         ,, U.S.A       ,, CD                 , MAXI          ,              
10179, YELLO       , DO IT                           , MERCURY               ,, GERMAN      ,, CD                 , MAXI          ,              
10330, YELLO       , DRIVE DRIVEN                    , SMASH RECORDS         ,, U.S.A       ,, CD                 , MAXI          , PROMO        
10481, YELLO       , ECCENTRIX REMIXES               , MERCURY               ,, GERMANY     ,, VINYL              ," 12""           ", PROMO        
10557, YELLO       , ECCENTRIX REMIXES               , MERCURY               ,, GERMAN      ,, CD                 , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
10633, YELLO       , ECCENTRIX REMIXES               , POLYGRAM              ,, RUSSIA      ,, CD                 , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
10709, YELLO       , ECCENTRIX REMIXES               , MERCURY               ,, GERMAN      ,, CD                 , ALBUM         , PROMO        ,,,,,,,,,,,,,,,,,,
10785, YELLO       , ELECTRA                         , ELEKTRA               ,, U.S.A       ,, PROMOS             , PHOTO         , PROMO        ,,,,,,,,,,,,,,,,,,
10861, YELLO       , ELECTRA                         , ELEKTRA               ,, U.S.A       ,, PROMOS             , PHOTO         , PROMO        ,,,,,,,,,,,,,,,,,,
10937, VARIOUS     , ELECTRONIC LANDSCAPES           , RAZORMAID             ,, GERMAN      ,, CD                 , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
11013, YELLO       , ELECTROPOP COLLECTION           , SRECORDS              ,, RUSSIA      ,, CD                 , ALBUM         ,              ,,1,,,,,,,,,,,,,,                    ,                        ,                    
11089, YELLO       , ES POSITIVO LO EXCESIVO         , VERTIGO               ,, ARGENTINA   ,, VINYL              , LP            , PROMO        ,,,,,,,,,,,,,,,,,,
11165, YELLO       , ES POSITIVO LO EXCESIVO         , VERTIGO               ,, SPAIN       ,, VINYL              , LP            ,              ,,,,,,,,,,,,,,,,,,
16, YELLO       , ESSENTIAL                       , POLYGRAM              ,, GERMAN      ,, VIDEO              ,               ,              ,,,,,,,,,,,,,,,,,,
11241, YELLO       , ESSENTIAL                       , MERCURY               ,, UK          ,, CASSETTE           , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
11317, YELLO       , ESSENTIAL                       , PHONOGRAM             ,, GERMAN      ,, CASSETTE           , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
11393, YELLO       , ESSENTIAL                       , SMASH                 ,, U.S.A       ,, CASSETTE           , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
11469, YELLO       , ESSENTIAL                       , MERCURY               ,, GERMAN      ,, CD                 , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
11545, YELLO       , ESSENTIAL                       , MERCURY JP            ,, JAPAN       ,, CD                 , ALBUM         ,              ,,,,,,,,,,,,,,,,,,
11621, YELLO       , ESSENTIAL                       , UNIVERSAL             ,, RUSSIA      ,, DVD                ,               ,              ,,,,,,,,,,,,,,,,,,
11697, YELLO       , ESSENTIAL                       , MERCURY               ,, GERMAN      ,, VINYL              , LP            ,              
11773, YELLO       , ESSENTIAL                       ,                       ,,             ,, PROMOS             , POSTCARD      ,              
11849, YELLO       , ESSENTIAL                       ,                       ,, GERMAN      ,, PROMOS             , MISC          , PROMO        
11925, YELLO       , ESSENTIAL                       , MERCURY               ,, UK          ,, CASSETTE           , PROMO         , PROMO        
12001, YELLO       , ESSENTIAL                       , ISLAND PRESS          ,, U.S.A       ,, PROMOS             , PRESS RELEASE , PROMO        
12077, YELLO       , ESSENTIAL                       ,                       ,,             ,, PROMO              , PRESS RELEASE ,              
12153, YELLO       , ESSENTIAL                       ,                       ,,             ,, PROMOS             , T-SHIRT       ,              
12229, YELLO       , ESSENTIAL                       ,                       ,,             ,, PROMOS             , BUTTON/BADGE  ,              
12305, YELLO       , ESSENTIAL                       ,                       ,,             ,, PROMOS             , MISC          ,              
12456, YELLO       , ESSENTIAL                       , POLYGRAM              ,, U.S.A       ,, VIDEO              ,               ,              
